phase,stage,mean_total_ms,std_total_ms,count
B,0,0.5473982499400639,0.7467930547793972,12
F,0,5500.098513642505,1050.2408715135805,14
W,0,7240.274405333214,1859.8793176122647,12
B,1,4299.8619192497545,574.3918107937349,12
F,1,8024.430770845636,1893.760610437234,13
W,1,305.123253083669,131.25235299782338,12
