rank,stage,phase,mean_total_ms,std_total_ms,count
0,0,B,0.4484408917852376,0.6941808437026966,4
0,0,F,5260.270616884205,843.0372668215522,4
0,0,W,6333.534492777773,1315.3663318554215,4
1,1,B,3988.4279063750732,168.50115426925538,4
1,1,F,7017.18907941725,844.1368911776677,4
1,1,W,237.93576421112948,28.951733483672626,4
